trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.1999999999999997, 'e': 0.4584060113052235}",25,0,21.15757181872857,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.1999999999999997, 'e': 0.44932896411722156}",20,0,-118.88078312645088,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
42,False,"{'a': 0.1999999999999997, 'e': 0.44043165450599925}",25,7,8.905611567182353,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.1999999999999997, 'e': 0.43171052342907973}",25,14,4.281415231294966,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.1999999999999997, 'e': 0.4231620823177488}",25,9,2.158951928968926,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.1999999999999997, 'e': 0.4147829116815814}",20,9,-4.777870668526905,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.1999999999999997, 'e': 0.4065696597405991}",25,11,1.9425507539607625,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.1999999999999997, 'e': 0.39851904108451414}",25,18,-13.634070054264976,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.1999999999999997, 'e': 0.3906278353585211}",25,13,19.105303603408668,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.1999999999999997, 'e': 0.38289288597511206}",25,18,-5.740757717226963,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.1999999999999997, 'e': 0.37531109885139957}",20,4,-16.901505850440365,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.1999999999999997, 'e': 0.36787944117144233}",20,3,1.6365453440494353,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
52,False,"{'a': 0.1999999999999997, 'e': 0.3605949401730783}",30,13,-66.7380372296935,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
53,False,"{'a': 0.1999999999999997, 'e': 0.35345468195878016}",20,9,19.665868729795825,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.1999999999999997, 'e': 0.3464558103300574}",20,0,-57.06367121248047,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
55,False,"{'a': 0.1999999999999997, 'e': 0.3395955256449391}",25,15,-65.70970102418082,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
56,False,"{'a': 0.1999999999999997, 'e': 0.33287108369807955}",20,4,-11.833978179167904,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.1999999999999997, 'e': 0.32627979462303947}",20,10,18.779283766056935,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.1999999999999997, 'e': 0.31981902181630384}",20,9,21.332735066387016,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
